"","USAF","WBAN","STATIONNAME","CTRY","STATE","LAT","LON","ELEV1M"
"1",690020,93218,"JOLON HUNTER LIGGETT MIL RES","US","CA",36,-121.233,3170
"2",690070,93217,"FRITZSCHE AAF","US","CA",36.683,-121.767,430
"3",690080,99999,"CAMP ROBERTS","US","CA",35.75,-120.7,2200
"4",690140,93101,"EL TORO MCAS","US","CA",33.676,-117.731,1167
"5",690150,93121,"TWENTYNINE PALMS","US","CA",34.3,-116.167,6959
"6",690150,99999,"TWENTYNINE PALMS","US","CA",34.3,-116.167,6260
"7",690160,93114,"TUSTIN MCAF","US","CA",33.7,-117.833,165
"8",690170,99999,"IND SPRNG RANGE 63","US","NV",36.533,-115.567,9720
"9",690174,99999,"INDIAN SPRINGS RANGE","US","NV",36.533,-115.567,9720
"10",690190,13910,"ABILENE DYESS AFB","US","TX",32.421,-99.855,5453
"11",690190,99999,"ABILENE DYESS AFB","US","TX",32.433,-99.85,5450
"12",690200,99999,"GOVERNOR HYDE","US","NC",35.25,-76.167,20
"13",690230,24255,"WHIDBEY ISLAND NAS","US","WA",48.35,-122.65,143
"14",690240,99999,"PACIFIC BEACH","US","WA",47.217,-124.2,180
"15",690260,99999,"CHEBOYGAN","US","MI",45.65,-84.467,1760
"16",690290,99999,"PORT ARANSAS","US","TX",27.833,-97.067,20
"17",690300,99999,"PORT O`CONNOR (CGS)","US","TX",28.433,-96.433,30
"18",690310,3125,"YUMA PROVING GROUND","US","AZ",32.833,-114.4,988
"19",690320,99999,"BLAINE HARBOR MUNI","US","WA",48.983,-122.733,210
"20",690330,99999,"HOOD CANAL BRIDGE","US","OR",45.667,-121.533,1920
"21",690500,99999,"FORT CHAFFEE","US","AR",35.167,-94.2,1430
"22",691164,99999,"REDSTONE ARSENAL","US","AL",34.683,-86.683,2090
"23",691174,99999,"ABERDEEN PVNG GRND","US","MD",39.467,-76.167,180
"25",691334,99999,"HILL/WENDOVER R GWC","US","UT",41.05,-113.067,12990
"26",691684,99999,"VICTORVILLE (ANG)","US","CA",34.6,-117.383,8760
"27",692364,99999,"FALLON NAS","US","NV",39.417,-118.7,11990
"28",692414,99999,"YUMA PROVING GROUND","US","AZ",32.85,-114.4,980
"29",692494,99999,"SUPERIOR VALLEY G R","US","CA",35.333,-117.1,9610
"31",692584,99999,"CREECH AFB TMOS-P","US","NV",36.583,-115.667,9550
"32",692704,99999,"KING SALMON AFS","US","AK",58.683,-156.633,150
"33",692754,99999,"AFCWC TMQ-53","US","FL",30.417,-86.667,90
"34",692764,99999,"AFCWC TMQ-53","US","FL",30.417,-86.667,90
"35",692784,99999,"KING SALMO","US","AK",58.667,-156.65,140
"36",694300,99999,"EAGLE RANGE       &","US","UT",41.05,-113.067,12920
"39",697534,99999,"FORT IRWIN","US","CA",35.283,-116.617,3220
"40",699604,3145,"YUMA MCAS","US","AZ",32.65,-114.617,649
"41",700001,26492,"PORTAGE","US","AK",60.785,-148.839,314
"42",700001,99999,"PORTAGE","US","AK",60.783,-148.833,290
"43",700197,26558,"SELAWIK","US","AK",66.6,-159.986,76
"44",700197,99999,"SELAWIK","US","AK",66.6,-159.983,80
"52",700631,25715,"ATKA","US","AK",52.217,-174.2,171
"53",700631,99999,"ATKA","US","AK",52.217,-174.2,180
"54",700632,26645,"BUCKLAND","US","AK",65.983,-161.133,91
"55",700632,99999,"BUCKLAND","US","AK",65.983,-161.15,100
