"","stn","wban","year","moda","temp","Tobs","dewp","Dobs","slp","Sobs","stp","Pobs","visib","Vobs","wdsp","Wobs","mxspd","gust","max","xf","min","nf","prcp","pf","sndp","frshtt"
"1",32220,99999,2003,"0102",38.5,8,36.1,8,NA,0,NA,0,6.6,8,11.1,8,15,NA,39.2,"*",37.4,"*",NA,"",NA,"010000"
"2",32220,99999,2003,"0103",34,9,29.2,9,NA,0,NA,0,6.4,9,4.2,9,6,NA,35.6,"*",32,"*",0,"I",NA,"000000"
"3",32220,99999,2003,"0104",29.4,9,25.8,9,NA,0,NA,0,6.2,9,1,9,1.9,NA,33.8,"*",24.8,"*",0,"I",NA,"000000"
"4",32220,99999,2003,"0105",27.3,8,24.4,8,NA,0,NA,0,6.8,8,0.4,8,2.9,NA,30.2,"*",21.2,"*",0,"I",NA,"000000"
"5",32220,99999,2003,"0106",30.4,8,27.9,8,NA,0,NA,0,7,8,3.6,8,5.1,NA,33.8,"*",26.6,"*",0,"I",NA,"000000"
"6",32220,99999,2003,"0107",31.6,9,23,9,NA,0,NA,0,7,9,3,9,5.1,NA,33.8,"*",26.6,"*",0,"I",NA,"000000"
"7",32220,99999,2003,"0108",33.5,6,31.4,6,NA,0,NA,0,7,6,1.7,6,4.1,NA,35.6,"*",28.4,"*",0,"I",NA,"000000"
"8",32220,99999,2003,"0109",37.2,8,33.4,8,NA,0,NA,0,6.8,8,2.6,8,5.1,NA,39.2,"*",35.6,"*",0,"I",NA,"000000"
"9",32220,99999,2003,"0110",31.8,8,27.9,8,NA,0,NA,0,6.5,8,1.6,8,2.9,NA,37.4,"*",28.4,"*",0,"I",NA,"000000"
"10",32200,99999,2000,"0409",42.7,24,37,24,1022.1,24,NA,0,17.2,24,4.2,24,8.9,NA,48.2,"",36.9,"",0,"E",NA,"000000"
"11",32200,99999,2000,"0410",41.8,24,36.4,24,1016.8,24,NA,0,6.6,24,5.3,24,13,NA,52.5,"",31.5,"",0,"E",NA,"000000"
"12",32200,99999,2000,"0411",40.5,24,37.1,24,992.8,24,NA,0,17.1,24,5,24,8.9,NA,45.9,"",37.6,"*",0.32,"F",NA,"000000"
"13",32200,99999,2000,"0412",41.7,24,36.1,24,990.9,24,NA,0,12.4,24,10.9,24,16.9,NA,45.9,"",38.3,"",0.1,"F",NA,"000000"
"14",32200,99999,2000,"0413",40.1,23,35.8,23,996.2,23,NA,0,27.8,23,9.9,23,15.9,NA,44.4,"*",37,"",0.12,"E",NA,"000000"
"15",32200,99999,2000,"0414",41.2,23,30.1,23,1002.8,23,NA,0,34,23,5,23,12,NA,48.6,"*",11.8,"",0,"I",NA,"000000"
"16",32200,99999,2000,"0415",39.2,24,30.2,24,998.4,24,NA,0,31.7,24,5.1,24,9.9,NA,46.9,"",32.4,"*",0,"I",NA,"000000"
"17",32200,99999,2000,"0416",40.7,24,32.5,24,997.1,24,NA,0,29.2,24,7.2,24,12,NA,50,"",31.6,"*",0,"I",NA,"000000"
"18",32200,99999,2000,"0417",41.2,23,37,23,989.9,23,NA,0,22.3,23,7.7,23,13,NA,45.1,"",38.5,"",0.26,"F",NA,"000000"
"19",32200,99999,2000,"0418",44.3,21,38.9,21,997.7,21,NA,0,15.3,21,3.7,21,7,NA,52.9,"*",40.3,"",0.08,"E",NA,"000000"
