"","stn","wban","year","moda","temp","Tobs","dewp","Dobs","slp","Sobs","stp","Pobs","visib","Vobs","wdsp","Wobs","mxspd","gust","max","xf","min","nf","prcp","pf","sndp","frshtt"
"1",26220,99999,2005,"0426",41.3,8,27.4,8,NA,0,NA,0,17.6,8,4.1,8,7.8,NA,56.3,"",24.6,"",0,"G",NA,"000000"
"2",26220,99999,2005,"0427",42.7,8,27.4,8,NA,0,NA,0,16.6,8,6.1,8,11.7,NA,57.4,"",22.8,"",0,"G",NA,"000000"
"3",26220,99999,2005,"0428",46.8,8,34.6,8,NA,0,NA,0,13.7,8,4.4,8,7.8,NA,59.7,"",34.2,"",0,"G",NA,"000000"
"4",26220,99999,2005,"0429",46.8,8,33.3,8,NA,0,NA,0,12.2,8,5.1,8,9.7,NA,55.8,"",29.7,"",0,"G",NA,"000000"
"5",26220,99999,2005,"0430",48,8,38,8,NA,0,NA,0,9.8,8,3.6,8,7.8,NA,58.5,"",39.4,"*",0,"E",NA,"010000"
"6",26220,99999,2005,"0501",50.3,8,39.6,8,NA,0,NA,0,9.9,8,2.2,8,5.8,NA,64.9,"",32.7,"",0,"G",NA,"001000"
"7",26220,99999,2005,"0502",48,8,43,8,NA,0,NA,0,8.3,7,6.6,8,11.7,NA,58.3,"",42.4,"",0,"G",NA,"010000"
"8",26220,99999,2005,"0503",52.7,8,49.1,8,NA,0,NA,0,3.6,8,3.4,8,7.8,NA,61.3,"",45.5,"*",0.06,"G",NA,"010000"
"9",26220,99999,2005,"0504",52.9,8,46.3,8,NA,0,NA,0,9,8,2.4,8,3.9,NA,63.9,"",38.7,"",0,"G",NA,"011000"
"10",26220,99999,2005,"0505",51.8,8,39.7,8,NA,0,NA,0,18.9,8,5.1,8,7.8,NA,61.3,"",45.1,"",0.02,"G",NA,"000000"
"11",26220,99999,2005,"0506",47.2,8,41.5,8,NA,0,NA,0,13.8,8,5.3,8,9.7,NA,53.4,"",42.8,"*",0.06,"G",NA,"010000"
"12",26220,99999,2005,"0507",43.5,8,36.5,8,NA,0,NA,0,17.6,8,5.3,8,9.7,NA,51.8,"",34.7,"",0.05,"G",NA,"010000"
"13",26220,99999,2005,"0508",42,8,33.8,8,NA,0,NA,0,19.4,8,4.6,8,9.7,NA,53.4,"",29.3,"",0.24,"G",NA,"011000"
"14",26220,99999,2005,"0509",40.8,8,33.3,8,NA,0,NA,0,19,8,3.9,8,9.7,NA,53.6,"",26.4,"",0.02,"G",NA,"010000"
"15",26220,99999,2005,"0510",39.4,8,35,8,NA,0,NA,0,12.2,8,2.9,8,7.8,NA,55,"",26.8,"",0.04,"G",NA,"010000"
"16",26220,99999,2005,"0511",42.1,8,38.1,8,NA,0,NA,0,16.4,8,1.5,8,3.9,NA,53.2,"",29.7,"",0.19,"G",NA,"010000"
"17",26220,99999,2005,"0512",47,8,39.3,8,NA,0,NA,0,14.9,8,2.4,8,5.8,NA,60.8,"",31.5,"",0.22,"G",NA,"011000"
